date_of_shout,time_of_shout,pager_code,location_of_shout,what_three_words,shout_details,time_boat_launched,time_boat_returned,crew_on_board,crew_on_shore,weather_at_time_of_shout
15/06/2023,17:22,999,Near CameROn house marina,,"Reports of pedal boat drifting towards the marina at CameROn house , Stood down once launched when shore crew confirmed pedal boat was safely ashore after been assisted by others , Police Scotland helicopter also in attendance",17:35,17:50,"DON, ABJ, AJM","JB , RB , DAVY , ABJ , IG , CC",sunny
14/06/2023,19:15,222,South of duck bay marina,,Crew were out on training when flagged down by a member of the public to a bROken down ski south of duck bay marina with 1 person on board. Crew then secured the Jetski and towed it back to Duncan mills slipway.,19:08,00:00,"RB, ABS, DON, JB, EM, GD",None,"Sunny, dry"
14/06/2023,01:40,333,Inch murrin,,Paged by police Scotland to assist 4 males on 2 bROken down jet skis. As LLRB were launching both skis returned with one ski under power towing the second.,01:55,01:56,"ABJ, RB, DS, DON",None,"Warm, dark"
10/06/2023,16:59,333,East side of Inch CoNonechaan,,BROken down jet ski with two adults. Located jet ski in area reported and towed back to Duncan Mills slip.,17:15,18:30,"DS, IG,AM",None,"Dry ,sunny, choppy"
08/06/2023,16:28,333,Burn foot,,23ft Cruiser missed mooring and ended up gROunded. Located boat and towed to deeper water and helped boat back onto mooring,16:30,17:15,"GH, DS, RB,TR",None,"windy,sunny"
08/06/2023,14:28,333, North of Duck bay,,BROken down speed boat north of Duck bay. Boat located and towed back to Duncan Mills slip,14:40,15:30,"DS, GH","RB, TR","windy ,sunny"
08/06/2023,16:00,333,North of burnfoot,,"Pioneer  pat with one occupant blow to shore whilst fishing, due to westerly blowing wing couldn’t get off shoreline, assorted of and made own way south to home Berth",16:00,16:20,"RB, TR, DS, GH",None,"Westerly wind,sunny"
06/06/2023,20:15,999,North inchloNoneig,,"Bowrider with 4 persons on board bROken down due to engine failure, rescue boat took bROken down boat via tow to ducan Mills slipway,",20:30,21:15,"RB, DS, ABJ, EM, JB",None,Sunny
06/06/2023,20:15,999,North side inchloNoneig,,"Bowrider with 4 persons on board bROken down due to engine failure, rescue boat took bROken down boat via tow to ducan Mills slipway,",20:30,21:15,"RB,DS, ABJ, EM, JB",None,Sunny
06/06/2023,16:58,333,East of CameROn House,,Paged to pROvide assistance to a bROken down boat with 1 person on board. We launched and located the boat east of CameROn House. The boat was towed back to safety at Duncan Mills slipway.,17:22,17:46,"RB, ABJ, JB",None,"Sunny, dry"
05/06/2023,01:31,999 0210,Inchmurrin spit,,"Paged by police Scotland after request fROm Scottish ambulance service to attend inch murrin spit due to male having chest pains. Crew launched immediately and located the male and his partner, male was taken to DMMS where ambulance was waiting.",01:45,02:44,"ABJ,ABS, CG, DS, PD, AM",None,Dry
04/06/2023,17:47,333,Boturich Shoreline,,"LLRB were requested by Police Scotland to pROvide medical and transport support to an incident with reports of a female collapsed just below Boturich Castle on the Eastern shore of the Loch Lomond.  Once launched LLRB liaised with Police and Ambulance crew at Balloch Park slipway and pROceeded to transport the Ambulance crew to the incident. Once on scene LLRB pROvided support to Ambulance crew and reassurance the the casualty, once the Ambulance crew were satisfied the casualty was stable enough to travel LLRB then transported the casualty and Ambulance crew to Balloch Park where an ambulance was waiting for further observations and onward treatment at hospital.  LLRB informed Police Service Overview and returned to our summer station at Duncan Mills Memorial Slipway.",17:55,19:10,"AM, TAM, EM,AJM","PD, CC,DS","hot, windy"
04/06/2023,15:39,333,Inchtavanch (bandry),,Two adults on an inflatable kayak which burst on their return journey. The occupants made their way back to shore and called for assistance. LLRB launched to assist and transfer them back to aldochlay.,15:45,16:20,"TR, AM, EM, AM",None,Sun
30/05/2023,13:52,333,Inchmoan south side,,Paged by police Scotland to assist male who had swam ashore after his  jet ski had bROken down. LLRB uNoneble to launch due to a mechanical issue with our winch. LLTNP attended and conveyed both the male and his jet ski to DMMS,13:52,16:00,"ABJ, RB, TR, AM",RO,VERY HOT 
29/05/2023,19:01,999, Ardlui marina.,,"18ft boat lost power,Boat launched then stood down as some one fROm marina assisted.",19:30,20:10,"DS, GH, DO,AM, ABJ, JB",None,"Sunny, dry"
28/05/2023,15:46,333,Firkin point,,"2 children in a dinghy blown off beach , children were rescued by passing vessel and assisted ashore , rescue boat crew went ashore & assessed children speaking with parent & police , will all in order and children safe LLRB stood down returning to base",16:02,17:00,"DS , GH , AJM , AM , JB , ABS","TR , EM",sunny
27/05/2023,16:03,999,WHW north of ROwardenNone,,"Paged by Police Scotland to assist with an incident on the West Highland Way whereby a male had fallen aROund 15 feet. LLRB deployed to the scene along with LLTNP Rangers and Scottish Ambulance Service, despite efforts of all involved the male was sadly pROnounced dead at the scene. LLRB thanks the bystanders who assisted prior to our arrival and sends our deepest condolences to the Family and friends of the deceased.",16:20,19:00,"ABJ, EM, DON, AJM",None,"Dry, sunny, moderate wind"
27/05/2023,14:38,222,Inchmurrin & inchmoan island,,"18ft speedboat with 2 adults 2 children & dog onboard with engine failure , vessel & occupants towed to Balloch",15:11,16:00,"AM , AJM , DS",None,"Light,light showers"
19/05/2023,18:03,999,Bandry Bay,,"Paged to assist a vessel with 3 persons on board that had ran agROund at Bandry Bay Reported to have 1 person with medical concerns. Once on scene vessel was already on tow by NPA, LLRB crew boarded vessel and assessed casualty & with no further medical assistance required vessel was assessed for damage before making own way back to CameROn house marina.",18:24,18:52,"RB , DS , AJM",None,"Dry, light"
15/05/2023,18:57,222,River Leven,,Boat fROm one of the cruising clubs had been bROken into and set adrift down the River,19:20,20:03,"RB, CC, AM, ABJ,ABS, DS",None,"sunny,cold"
10/05/2023,20:00,222,South of Inchmurrin Island,,"Jetski out of fuel, flagged down LLRB whilst we out for training. No phones onboard. Towed to Duck Bay to dROp one person off to collect van, and then pROceeded to Duncan Mills Slip with ski",20:00,21:00,"PBT, RB, IG","ABS, JB",Calm
07/05/2023,18:57,333,On beach opposite Aldochlay,,Vessel with 1 adult male on board with no power & stranded. Vessel was towed to Luss pier & secured for the night with crew thereafter transferring the owner to Ardlui in order for him to collect his car and get safely home.,19:11,20:45,"DS , AM , GH , EM",None,"light,dry"
07/05/2023,10:23,999,Inchcailloch Port Bawn Pier,,23 year old female had seizure in early morning after camping overnight on Inchcailloch. Crew deployed fROm Luss and recovered a walking casualty. Casualty was transferred by rescue boat to a waiting ambulance at Balmaha pier,10:30,11:15,"CMS, AM, PBT",None,"Cloudy, calm"
06/05/2023,00:52,999,CameROn house,,Paged by police Scotland to assist in area search after reports of 2 young children sighted on a lilo at appROx 2330hrs. LLRB attended and carried out area search with negative result.,01:10,02:30,"ABJ, DS, DON, GH ",RB,"Dry, foggy"
04/05/2023,15:07,999,Luss,,"2x capsized kayaks, with three persons reported in water. 2 persons already ashore when we launched, LLRB commenced search for for 3rd person who was eventuAM located onshore.",15:30,15:50,"RB, PBT, AJM","GH, TR","Windy, 1 foot waves"
23/04/2023,14:40,333,North East of InchFad,,"Crew were alerted by Police Scotland of a demasted sailing dinghy with no crew onboard floating  a quarter mile off Inchfad island. Crew immediately began a search coordiNoneting with Police ContROl, after an extensive search was conducted LLRB made contact with a local sailing club who confirmed a dinghy fROm the club had maNoneged to become free and float away, the club retrieved it uNoneware a call for safety was placed. Crew advised Police and stood down.",15:00,16:20,"AM, TAM, PBT, EM, GH",None,"Fair, gusty North westerly"
24/04/2023,11:21,333,Inchmoan island,,"Paged to recover stranded person fROm inchmoan island after his companion left him stranded there overnight following a disagreement. Shore search for female then undertaken resulting in kayak been located near Loch Lomond golf club , Police Scotland traced female at her home address allowing us to stand down now that all parties safe & well",11:45,12:58,"DON, GERARD  , TR , PBT , AM",RB,"sunny,dry"
12/03/2023,12:02,999,Duncan Mills Slip Way,,Crew made aware of two persons fallen into the water fROm a small vessel near to Duncan mill’s slipway. Both had maNoneged to get out of the water & Crew pROvided casualty care to both persons ashore before they where fit to be discharged an hour later,10:30,13:35,"DON, GERARD  ,AM , RO , PBT",None,"raining,light"
11/03/2023,01:24,999,On the west highland in the area of Ardleish,,Assist Police Scotland mountain rescue team in the search of 4 Lost persons on the west highland way last known location near to Ardleish. Once on arrival at Ardlui mountain rescue located the lost party and assisted them fROm the west highland way.,01:45,03:16,"DON , ABJ , EM , JT",None,"dry,dark"
26/02/2023,12:30,333,South of InchMurrin,,"Report fROm Police Scotland of a 5.5m Rigid Hull Inflatable Boat with 2 persons onboard (and dog) with engine tROuble and drifting. LLRB quickly identified the vessel and ensured all crew were safe and after a quick assessment secured the vessel for tow to Duncan Mills Memorial Slipway, Balloch. Once alongside at Balloch the crew then returned to station and stoodown",12:45,13:40,"AM, GH",None,"sunny,calm"
19/02/2023,11:30,333,River Leven,,Crew Aletered to small boat with gear pROblems drifting in River Leven. Crew towed boat RO Moss of Balloch Slip Way,11:30,12:00,"AM, GH, DON, EML",None,"Light Rain, Slight Wind"
10/02/2023,12:09,999,1 mile off Luss driving towards islands,,"Female paddle boarding in difficulty due to high winds uNoneble to get back to shore. Incident involved rescue boat , NPA , Police & ambulance. Female assessed by ambulance staff at boat shed & discharged at scene.",12:21,13:06,"GH , RB , AJM , EM",DON,"Wet and windy,daylight"
09/02/2023,14:06,999 1682,Boturich Shore,,"Small motoRBoat with 3 persons onboard ran agROund on ROcks near Boturich Shore. Their pROpeller was damaged and engine taken out of action. Due to the ROcky location, two crew fROm LLRB had to enter the water to reach the boat and  attach a tow line. The boat was towed to Duncan Mills slipway.",14:30,15:30,"RB, DS S, TR, KM.",None,"Cold, fair, light winds, Slight chop"
23/12/2022,14:08,222,Doune Bothy,,"19yr old male casuAM walking the WHW twisted his left knee , slightly injured , casuAM did not want any medical treatment ,  advised him to seek medical treatment when he can if injury gets worse, taken to Ardlui to waiting police officers they will take him to train station.",14:35,16:10,"RB , IG , RO , JT , GH",None,Wet
19/12/2022,14:13,999- 1701,West highland way opposite I-Vow,,Paged by Police Scotland to assist male stranded on West Highland Way due to weather conditions causing a bridge over a waterfall to be washed away. Walker was uNoneble to continue and was taken to Ardlui Hotel.,14:35,16:00,"ABJ,ABS, RB, IG, JT",None,"Rain,sLEEt, high winds"
27/11/2022,01:06,999,In the water next to Loch Lomond Aquarium,,Female in the water within the lagoon at Loch Lomond aquarium,01:06,01:28,"DON, AJM , JT , ABJ",None,"Dark, dry"
21/11/2022,11:30,999,North shore Inchfad,,"Reports of two paddle boarder in difficulty, one in water. Caught out by high winds. One wasnt wearing correct attire for out in water. Luckily this one did not enter the water. Both had PFDS on. Treated for minor sings of hypothermia and transported back to millaROchy bay and got warmed up and changed in there car",12:05,13:20,"RB, TR, GD, AJM",None,"Cold, north easterly wind"
25/10/2022,01:30,999,"In the water at lagoon , Loch Lomond shores",,Crew tasked to assist police scotland with a female in the water at the lagoon within Loch Lomond shores,01:30,02:05,"RO , DON , AJM , PBT",None,"Dark, dry"
17/10/2022,11:33,222,West Highland Way appROximately 5km North of ROwardenNone,,"Collect Scottish ambulance service crew at ROwardenNone jetty & assist them in locating a 32yom who was suffering a suspected allergic reaction.
Crew along with ambulance staff completed shore search prior to male been found on the high ROad by mountain rescue team. Handed to ambulance crew for assessment",11:33,13:40,"RB , AM , TR",None,"Wet, light"
23/10/2022,13:29,333,In the water at the FROnt of duck bay restaurant,,"Object in the water blue in colour , helium balloon recovered fROm the water by crew",13:52,15:00,"DON, RB , PBT , AJM , GH",None,"Raining,light"
17/10/2022,10:37,999,"Male not well WHW details scetchy as was foreign NonetioNonel and did not have what 3 words, 5km north of ROwerdeNone, was actuAM on top path at viewing point above ROwcosh bothy.",,"As above, once location identified it was passed to Lomond MRT to get casualty with assistance fROm air ambulance paramedics and SAS ambulance in stand by",11:10,13:00,"RB, TR, AJM",None,"North wind, heavy swells,driving rain"
03/10/2022,23:07,999,Drumkinnon bay,,Paged by police Scotland to assist in ongoing incident within drumkinnon bay whereby there was a person within the water. LLRB attended immediately and after removing the person fROm the water LLRB pROvided medical care prior to the arrival of the ambulance. LLRB stood down and returned to base. The individual recovered fROm the water suffered no injury.,23:20,01:00,"ABJ, AM, RO, GH , DON, DS, JT, PBT",None,"Light rain, stROng winds"
24/09/2022,20:00,9994432,Drumkinnon Bay,,"Paged by Police Scotland to assist police,Scottish fire and rescue to remove female fROm the water at Drumkinnon Bay , about to leave DMMS police overview stood LLRB down , female came out the water on her own to police and ambulance",20:27,20:27,"JT , AM, ABS",TR,Dry
13/09/2022,20:13,999 1324,Reported to be near MallaROchy Bay,,Reports of a male on an upturned laser between Inchfad and Inchcailloch. After a short search the male was actuAM located on the North side of Inchfad. The casualty was recovered to an ambulance at MillaROchy Bay and the laser was righted and towed back to the sailing club.,20:25,22:25,"CG, IG, RO, AM",None,"Clear,calm"
11/09/2022,08:53,999,Sitting off inchmoan island,,"16ft fishing Vessel with two males on board out of ROwardenNone suffering engine failure , vessel was towed to balmaha & 1 occupant was thereafter transported by rescue boat to ROwardenNone to collect his vehicle & trailer",09:04,11:00,"DON , AJM, GH, RO",None,"Dry,light"
08/09/2022,17:36,333,West highland way near I Vow island,,"Female walker who had sustained an ankle injury following a fall , female was able to pROvide what 3 words to emergency services which got us to her location. Female was assessed by our crew , treated , packaged and transported to awaiting ambulance at Inveruglas",17:48,20:50,"DON,GERARD , AJM ,RO ,IG ,EM , DS","RB, TR","Daylight turning dark,rain showers"
06/09/2022,12:09,333,West highland way adjacent to TaRBet,,"Called out by police Scotland, Located Male and female walkers fROm What 3 words ,taken unwell while walking the west highland way sickness, high temperatures LLRB crew carried out primary medical survey  on both casualties , assisted casualties onto LLRB conveyed to MilarROchy bay campsite , casualties did not want ambulance assistance. Spoke with Police Scotland contROl happy for LLRB to stand down return to Duncan Mill Slipway",12:25,14:09,"JT , AJM, DON , IG",None,"Dry , cloudy"
03/09/2022,17:18,333,Side of Little Ireland,,"Police Scotland called LLRB out Female Paddle boarder in tROuble uNoneble to get back to MilarROchy  bay , located female by what 3 words treated her for mild hypothermia, taken to MilarROchy bay to waiting police officers ambulance not required",17:28,18:25,"ABJ,JT, DON",None,"StROng winds , heavy rain"
02/09/2022,15:45,333 2265,South beach of inchmoan,,"BROken down 17ft bow rider with 3 adults onboard, towed to simon’s yard in river leven",16:00,17:20,"RB JT ,GH, DON",None,Slight easterly swell
30/08/2022,17:32,333,Inch conNonechan,,"After arriving back at DMMS fROm a previous shout, crew were made aware of a bit which had bROken down on the south west side of inch conNonechan. LLRB attended, located the vessel and towed it back to DMMS",17:32,19:00,"ABJ, GH , AJM",None,dry
30/08/2022,15:11,999,Inch Cailloch,,"Paged by Police Scotland due to concerns for an unknown male who had launched fROm Balmaha in a small inflatable “ids toy” style dingy, without a life jacket. LLRB attended and posed with police as did the NPA. The male was located and our concerns due to his vessel and lack of a life jacket or safety equipment were explained to the male. LLRB then conveyed the male back to Balmaha  where he spoke with police",15:20,17:30,"ABJ, TR, GH , AJM",None,Dry
24/08/2022,14:25,333,Offshore fROm Loch Lomond Golf Course,,LLRB were called to assist a boat suffering mechanical failure just out fROm Loch Lomond Golf Course. After locating the stricken vessel our crew secured a tow line and began the tow back to CameROn House marina.,14:45,16:00,"ABJ, TR, GH",None,"Light wind,sunny"
23/08/2022,15:00,333,InveRBeg sandbar,,Paged by police Scotland to assist boat which had run agROund on InveRBeg sandbar causing damage to the engine. LLRB attended as did NPA and located boat which was towed to Luss pier where the owner repaired the damage and returned to balloch under his own power,15:10,16:55,"ABJ, RB, GH , JT",ABS,"Dry, cloudy"
14/08/2022,21:00,333,South of Torrinch,,12foot jet boat. Engine tROuble. 2 males on board,21:05,21:03,"RO, AM, GH, EM, AJM",DON,"Choppy, wind, lighting"
14/08/2022,20:00,333369,East of golf club,,"25ft boat. Engine tROuble. 2Adults, 2 Children on board",20:15,21:00,"RO, AM, GH, EM, AJM",DON,"Choppy waters,Wind,Lighting"
13/08/2022,12:39,333,InveRBeg,,BROken down rib at InveRBeg. The rib was located just south of InveRBeg on the shore with its 3 occupants. The boat was towed by LLRB to DMS,12:55,14:17,"RB, DS, TR, EM, JT",None,"Warm,sunny"
08/08/2022,17:54,9992804,East side 100 meters up fROm Balloch castle Jetty,,"Engine failure and stranded on shore / ROcks ,4 persons onboard checked all are okay , rescue crew removed vessel off shoreline, towed alongside rescue boat back to DMMS",18:00,18:25,"JT, AM, DS","RB, IG , CC , PD , DS","Calm , cloudy"
01/08/2022,16:30,222,CameROn Bay,,"On return fROm our first shout of the day we were hailed by a passing paddleboarder who was assisting 2 x females in a toy inflatable. On appROach it became apparent they had lost one of the inflatables paddles oveRBoard and were struggling due to the direction of the wind, it was also noted that both occupants were not wearing lifejackets. LLRB assisted by taking the females aboard the St John and returned them to the shore with suitable words of advice given.",16:30,16:40,"AM, JT, AJM, DS",None,Brisk Northerly wind
01/08/2022,14:43,999 1977,Eastern shore 2 km fROm TaRBet,,"Report of a women on the WHW with abdomiNonel pains, feeling very Noneuseous and uNoneble to continue her walk. Once on scene LLRB Crew with the assistance of the LLNP Rangers assessed the casualty, during the obersvations it became apparent she hadn't ate much or taken enough fluids over the course of the day,  LLRB monitored the casualty and once she was stable took her and her friend over to TaRBet to allow them to continue their journey",14:55,16:40,"AM, JT, AJM,DS",ABJ,"Fair,Northerly winds"
31/07/2022,01:35,999,2miles north of ROwardennen on west highland way,,"Assist with Scottish Ambulance service, walker has scalded her lower right leg with hot boiling water, on arrival Sort ambulance staff treating casualty, took casualty onto LLRBoat to ROwardennen pier to meet with Ambulance personnel",01:45,03:30,"RO, DS , JT,ABS ,",None,Dry
28/07/2022,18:41,3032,ROwardenNone,,"Paged by police Scotland due to reports of an item floating in the water which was thought to be a body. LLRB attended as did Scottish Fire and Rescue Service, Police Scotland and Scottish Ambulance Service. Upon arrival members of the public directed LLRB to the floating item in question. This was in fact a mooring buoy. LLRB and Police Scotland deemed the incident to be a false alarm with good intent and LLRB stood down.",18:50,19:50,"ABJ, AM, GH , DS, DON",None,Heavy rain
12/09/2023,18:32,333,Inchmurrin at hotel jetty,,"18ft speedboat lost power, maNoneged to drift to jetty at inchmurrin, towed to DMMS",18:52,19:10,"RB, DON",None,"Clear,sunny"
07/09/2023,12:45,333,Bouturch shoreline half way up inchmurrim,,23 ft Draco bROken down towed to DMMS,12:55,13:20,"RB ,DS ,RO",AM,Fab
05/09/2023,14:44,333,200m off the shore of Loch Lomond Golf Course,,Reports of a bROken down jetski off the shore of Loch Lomond Golf Course with 2 males on board. LLRB assembled and made way to the location. On scene LLRB attached a tow line to the jet ski and towed them safely back to CameROn House marina.,15:00,16:00,"TR, ABS, GH",None,"Sunny,light wind"
05/09/2023,18:21,333,In the water near MilarROchy bay,,"Requested by police to search for and assist 2 paddle boarders struggling in the water , once on scene we commenced a search locating the first casualty some distance fROm shore , the first casualty was bROught on the rescue boat and treated for effects of the cold before the crew pROceeded to collect her friend who had maNoneged to get ashore. 
Both casualties & their boards were taken back to milarROchy bay and assessed by crew before been discharged to travel home",00:00,20:15,"DON , RO , GH  , AJM",None,"Light,cold"
05/09/2023,17:30,333,Near to Loch Lomond golf course,,"Vessel with 2 adults on board that had suffered mechanical failure , vessel was secured on a tow and taken to its berth on the River leven at balloch",17:37,20:15,"DON , GH  , AJM, RO",None,"Sunny,light"
03/09/2023,20:09,333,FROnt of Inchmurrin,,BROken down jet ski. Boat never launched as ski picked up by passing boat and towed back to Duncan Mills slip.,01:11,00:00,"DS,RO",None,"Dry, dusk"
31/08/2023,20:23,999,Area in fROnt of Luss Beach,,Member of public called in reports of person in water flashing light and calling for help. Rescue Boat made to area and carried out search with nothing to report. LLRB stood down and returned to base.,20:35,21:35,"DS,CG,GH,ABJ",None,"Dry,dark"
27/08/2023,15:53,333,200 yards  north of boutorich boathouse on east shore,,"15ft Maryland cabin cruiser hit ROcks in too close to shore, no boating experience",16:08,16:55,"RB ,ABJ, TR, CG",None,"Showery, westerly breeze"
19/08/2023,16:45,222,"Ardlui,Balloch",,"Charity day, on return to Balloch we were informed by member of public that a jet ski towing an inflatable had bROken down at the speed markers",11:00,17:00,"ABS, TR, EM, DO",None,"Rain, stROng southerly wind"
27/08/2023,13:49,333,East side of inchmurrin,,"21ft bayliner lost power, towed to DMMS",14:00,14:40,"RB, TR ,FR",None,"Overcast, sunny spells"
26/08/2023,19:03,333,Inchmoan island,,"Vessel with 4 adults & 3 children on board suffering mechanical failure , vessel & occupants towed to the river leven at balloch and safely berthed allowing the rescue boat to stand down",20:58,20:58,"DS , GH , DS",None,"Rainy,light"
26/08/2023,22:00,222,Same as previous east side inchmurrin,,"Whilst on previous shout we were made aware of a 18ft bay liner capri with 6 adults onboard with engine tROuble, adults were extremely intoxicated all had life jackets on and vessel towed to Balamaha",00:00,23:20,"RB, DS, GH, CG","DON,JB","Flat light, misty"
26/08/2023,20:45,999,East side of Inchmurrin in middle ROughy just before port ellen,,"Reports of a Fire/Smoke within  a 24 ft sea ray sports cruiser with 3 adults and 5 year old onboard, crew launched and made best way to incident scene. We requested fROm police Scotland on launching for SAS to be requested to attend DMMS  and if possible Rescue 199 due to Noneture of call. On scene 15 mins fROm initial call out where we transferred occupants to lifeboat, due to possible smoke inhalation and for medical care we left the stranded boat and took injured party’s to DMMS. On arrival SAS that was requested before launch were not present , when asking for ETA the contROl had boat asked for them yet !  Two crew were left with the casualty’s and rest of crew back out to attend with boat.",21:00,23:15,"RB, DS, CG, GH, JB, DON",Ab,"Calm flat night,fine mist,darkness"
23/08/2023,19:00,training,Training,,Training,19:15,20:45,"ABS, GH, VM",None,"Dry, calm"
18/08/2023,19:15,333,Inchmurrin Island,,"Requested to assist Scottish Ambulance service , no other details on tasking available.",19:25,21:00,"DON , IG , GH  , ABJ, EM , TR",None,"Dry light, windy"
15/08/2023,13:15,999,Luss,,"Police Scotland tried to page us for cardiac arrest at luss pier at 12:56, no page 
Phoned coxswain at 13:15 who then set pagers off with 999. Crew stood down on way to launch boat as two SAS crew in attendance  and assistance wasn’t required.",00:00,00:00,None,"RB, IG, TR, GH","Calm,close"
06/08/2023,19:26,333,North side of inchmurrin,,"Reports of a 20 ft speed boat with ROpe tangled aROund the pROp. ROpe could not be removed fROm pROp in water, due to being a master craft on shaft. Boat was towed back to Duncan Mills slip. And crew stood down",19:35,20:05,"DS, AM, GH, ABS",TR,"Dry, cloudy"
06/08/2023,14:58,333,East of Inchmurrin,,24 ft speedboat with engine failure reported just off of inchmurrin. 6 persons on board and one dog. Boat safely towed back to CameROn house marina.,15:10,15:49,"Ds,AM, EM","RB, TR","Warm, dry"
06/08/2023,10:15,training,Crew Training,,"Crew Training, Island Familiarisation and River Leven",10:15,12:35,"AM, PD ,DS, VM ,GH, EM",ABJ,"Good, clear"
29/07/2023,17:40,333,Half mile south of InversNoneid,,"Report of a walker on WHW with suspected bROken ankle, on arrival at scene it was later determined to be a dislocated knee cap, casualty was prepared for travel and taken to Inveruglas to awaiting Scottish Ambulance Service for further treatment",17:50,20:35,"AM, EM, GH, TR",RB,Overcast
30/07/2023,15:29,333,Little Ireland between Inchfad and Inchcruin.,,Targa 45,15:45,17:00,"RO, CG, GD, GH",None,"Dry,windy"
25/07/2023,22:26,222,On the beach at inchmoan island,,"2 adults on a Jet ski that had suffered engine failure leaving it & them stranded on the island , crew assisted them to rescue boat and then towed the jet ski back to Duncan mills slip way",22:38,23:45,"DS , GH , TR , PD , JB ",None,"Dark, showers"
25/07/2023,15:55,222,Just off the shore at ROss Priory,,"18ft boat with 2 adults & 2 children on board that had struck the bottom and now had engine failure.
With everyone on board safe and well the vessel was towed to its berth on the River Leven.",16:08,17:30,"DS, DS , TR , JB",None,"Light, dry"
21/07/2023,15:05,222,Inchtavvanch channel,,"Call on channel 16saying swimmer in water, interpreted wROng by someone as distress. On arrival it way a safety boat calling other boats to warn of swimmer in water. Stood down and returned to base",15:20,16:15,"RB ,TR ,AMD","GH, DON",sunny
19/07/2023,18:44,222,Ardlui,,17' Fletcher speedboat with 1 male occupant had suffered mechanical failure and was drifting just south of Ardlui. The boat and occupant were put on a long tow and taken back to their berth at ROwardenNone,19:00,20:15,"RB, CG, TR, ABJ, AM","RO, ABS","Sunny, windy"
16/07/2023,11:10,333,South of InveRBeg,,"Consern  for missing kayaker that hasn’t returned to car, search carried out and found north of ROss isles on east shore, person ok but gave lift back to his car",00:00,12:15,"RB, RO, GH",None,"West wind, heavy showers"
